State,Date,Population,Food Wasted (Tonnes),Wastage by Type,Sector,Greenhouse Gas Emissions (CO2eq),Waste Disposal Method,Food Insecurity Rate (%),Cold Chain Infrastructure,Economic Cost of Waste (INR Cr)
Tripura,2015-06-01,3396469,15567.15,"{'Fruits': 3891.787740550167, 'Vegetables': 4670.1452886602, 'Grains': 3113.430192440134, 'Dairy': 2335.0726443301, 'Meat': 778.3575481100335, 'Processed Foods': 778.3575481100335}",Food Processing,15838.32,"{'Landfill': 9825.059154543393, 'Composting': 2193.8976263123027, 'Recycling': 2742.404673134508}",14.78,Low,290803.43
Uttar Pradesh,2015-06-01,210953196,966868.82,"{'Fruits': 241717.2047580747, 'Vegetables': 290060.6457096896, 'Grains': 193373.76380645976, 'Dairy': 145030.3228548448, 'Meat': 48343.44095161494, 'Processed Foods': 48343.44095161494}",Retail,1081363.45,"{'Landfill': 663463.3047475573, 'Composting': 218219.0854892847, 'Recycling': 182761.94322629872}",22.53,Medium,1121802375.86
Uttarakhand,2015-06-01,10811106,49550.91,"{'Fruits': 12387.726621277123, 'Vegetables': 14865.271945532546, 'Grains': 9910.1812970217, 'Dairy': 7432.635972766273, 'Meat': 2477.545324255425, 'Processed Foods': 2477.545324255425}",Food Processing,52957.38,"{'Landfill': 31371.650888092016, 'Composting': 12452.652934523234, 'Recycling': 8666.01191964746}",18.1,Medium,2946350.8
West Bengal,2015-06-01,95980439,439910.35,"{'Fruits': 109977.58681288466, 'Vegetables': 131973.1041754616, 'Grains': 87982.06945030774, 'Dairy': 65986.5520877308, 'Meat': 21995.517362576935, 'Processed Foods': 21995.517362576935}",Household,478089.94,"{'Landfill': 256252.47333562444, 'Composting': 51903.832308904886, 'Recycling': 52027.81288043703}",24.8,Medium,232225336.34
Andhra Pradesh,2015-07-01,79332046,363605.21,"{'Fruits': 90901.30287466176, 'Vegetables': 109081.56344959412, 'Grains': 72721.04229972941, 'Dairy': 54540.78172479706, 'Meat': 18180.260574932352, 'Processed Foods': 18180.260574932352}",Household,337660.03,"{'Landfill': 196458.63210848364, 'Composting': 52527.58483603765, 'Recycling': 57064.971952589614}",21.07,Low,158650499.79
Arunachal Pradesh,2015-07-01,1148943,5265.99,"{'Fruits': 1316.4980302825163, 'Vegetables': 1579.7976363390196, 'Grains': 1053.198424226013, 'Dairy': 789.8988181695098, 'Meat': 263.29960605650325, 'Processed Foods': 263.29960605650325}",Hospitality,5973.6,"{'Landfill': 2934.4381222919255, 'Composting': 1450.333323295699, 'Recycling': 609.9448150472267}",34.42,Low,33276.81
Assam,2015-07-01,28208746,129290.09,"{'Fruits': 32322.521704144, 'Vegetables': 38787.0260449728, 'Grains': 25858.0173633152, 'Dairy': 19393.5130224864, 'Meat': 6464.5043408288, 'Processed Foods': 6464.5043408288}",Retail,150560.8,"{'Landfill': 83977.5006932535, 'Composting': 26146.941895924814, 'Recycling': 21000.828505962167}",13.5,High,20059111.86
Bihar,2015-07-01,108668522,498064.06,"{'Fruits': 124516.01515984432, 'Vegetables': 149419.21819181318, 'Grains': 99612.81212787546, 'Dairy': 74709.60909590659, 'Meat': 24903.203031968864, 'Processed Foods': 24903.203031968864}",Household,506761.28,"{'Landfill': 343663.5932121095, 'Composting': 78811.97052017054, 'Recycling': 95903.32462284321}",31.05,Medium,297681370.2
Chhattisgarh,2015-07-01,27266268,124970.4,"{'Fruits': 31242.598910028508, 'Vegetables': 37491.11869203421, 'Grains': 24994.079128022808, 'Dairy': 18745.559346017104, 'Meat': 6248.519782005702, 'Processed Foods': 6248.519782005702}",Food Processing,101777.31,"{'Landfill': 71495.91065316113, 'Composting': 32664.571563247227, 'Recycling': 22611.242765192306}",20.88,Medium,18741119.74
Goa,2015-07-01,1449063,6641.54,"{'Fruits': 1660.384695575882, 'Vegetables': 1992.4616346910584, 'Grains': 1328.3077564607056, 'Dairy': 996.2308173455292, 'Meat': 332.0769391151764, 'Processed Foods': 332.0769391151764}",Agriculture,6344.69,"{'Landfill': 4530.074688566443, 'Composting': 933.9432029299737, 'Recycling': 1126.4318168792556}",22.61,High,52932.04
Gujarat,2015-07-01,64212029,294305.14,"{'Fruits': 73576.28414849177, 'Vegetables': 88291.54097819013, 'Grains': 58861.02731879342, 'Dairy': 44145.77048909506, 'Meat': 14715.256829698355, 'Processed Foods': 14715.256829698355}",Agriculture,254044.5,"{'Landfill': 157986.2228742525, 'Composting': 70070.0070711587, 'Recycling': 56858.61317342667}",33.25,High,103938616.11
Haryana,2015-07-01,27073859,124088.52,"{'Fruits': 31022.130307040687, 'Vegetables': 37226.55636844882, 'Grains': 24817.70424563255, 'Dairy': 18613.27818422441, 'Meat': 6204.426061408138, 'Processed Foods': 6204.426061408138}",Food Processing,116546.2,"{'Landfill': 67990.63086491934, 'Composting': 35819.194020838455, 'Recycling': 20129.410238313154}",33.29,High,18477553.32
Himachal Pradesh,2015-07-01,6545259,29999.11,"{'Fruits': 7499.776362710136, 'Vegetables': 8999.731635252163, 'Grains': 5999.821090168109, 'Dairy': 4499.8658176260815, 'Meat': 1499.9552725420272, 'Processed Foods': 1499.9552725420272}",Retail,30395.56,"{'Landfill': 15741.394387505736, 'Composting': 8269.788893227946, 'Recycling': 5032.247806935542}",16.49,Medium,1079935.59
Jharkhand,2015-07-01,34943769,160158.94,"{'Fruits': 40039.73623825525, 'Vegetables': 48047.6834859063, 'Grains': 32031.788990604204, 'Dairy': 24023.84174295315, 'Meat': 8007.947247651051, 'Processed Foods': 8007.947247651051}",Hospitality,132223.91,"{'Landfill': 91972.50774347551, 'Composting': 21187.76782225232, 'Recycling': 27956.58136204129}",32.97,High,30781065.18
Karnataka,2015-07-01,65612001,300721.67,"{'Fruits': 75180.41836526016, 'Vegetables': 90216.50203831219, 'Grains': 60144.33469220813, 'Dairy': 45108.251019156094, 'Meat': 15036.083673052033, 'Processed Foods': 15036.083673052033}",Hospitality,334730.32,"{'Landfill': 204959.15173914458, 'Composting': 70544.86990072395, 'Recycling': 46835.95958271947}",13.3,Low,108520229.87
Kerala,2015-07-01,35837579,164255.57,"{'Fruits': 41063.89298497782, 'Vegetables': 49276.67158197339, 'Grains': 32851.114387982256, 'Dairy': 24638.335790986694, 'Meat': 8212.778596995564, 'Processed Foods': 8212.778596995564}",Food Processing,162750.09,"{'Landfill': 94097.8326742325, 'Composting': 30018.541935534453, 'Recycling': 30431.413026651186}",37.43,High,32375871.5
Madhya Pradesh,2015-07-01,75911697,347928.62,"{'Fruits': 86982.1537564455, 'Vegetables': 104378.5845077346, 'Grains': 69585.72300515641, 'Dairy': 52189.2922538673, 'Meat': 17396.430751289103, 'Processed Foods': 17396.430751289103}",Food Processing,338188.44,"{'Landfill': 201956.78476656793, 'Composting': 45273.09982636938, 'Recycling': 56517.7193454766}",10.57,Medium,145265185.38
Maharashtra,2015-07-01,117737613,539630.73,"{'Fruits': 134907.68236065144, 'Vegetables': 161889.2188327817, 'Grains': 107926.14588852116, 'Dairy': 80944.60941639086, 'Meat': 26981.53647213029, 'Processed Foods': 26981.53647213029}",Food Processing,561153.94,"{'Landfill': 280686.13202113257, 'Composting': 153749.94316459534, 'Recycling': 81179.80537715489}",30.22,Medium,349441588.99
Manipur,2015-07-01,2327432,10667.4,"{'Fruits': 2666.84986912125, 'Vegetables': 3200.2198429454997, 'Grains': 2133.479895297, 'Dairy': 1600.1099214727499, 'Meat': 533.36997382425, 'Processed Foods': 533.36997382425}",Agriculture,9163.2,"{'Landfill': 6624.199260962356, 'Composting': 1264.4073016865925, 'Recycling': 1818.098499083417}",36.96,Medium,136552.09
Meghalaya,2015-07-01,2496484,11442.22,"{'Fruits': 2860.555665835681, 'Vegetables': 3432.666799002817, 'Grains': 2288.444532668545, 'Dairy': 1716.3333995014084, 'Meat': 572.1111331671362, 'Processed Foods': 572.1111331671362}",Food Processing,10224.01,"{'Landfill': 7913.659683205332, 'Composting': 2011.8491855050827, 'Recycling': 2258.501992117805}",37.67,Low,157109.35
Mizoram,2015-07-01,955689,4380.24,"{'Fruits': 1095.0609998465088, 'Vegetables': 1314.0731998158105, 'Grains': 876.0487998772071, 'Dairy': 657.0365999079053, 'Meat': 219.01219996930178, 'Processed Foods': 219.01219996930178}",Hospitality,3757.63,"{'Landfill': 2671.8922492361626, 'Composting': 859.92118949598, 'Recycling': 787.0976849184703}",37.73,Medium,23023.84
Nagaland,2015-07-01,2100358,9626.64,"{'Fruits': 2406.660775724244, 'Vegetables': 2887.992930869093, 'Grains': 1925.3286205793954, 'Dairy': 1443.9964654345465, 'Meat': 481.33215514484885, 'Processed Foods': 481.33215514484885}",Food Processing,8705.24,"{'Landfill': 5731.352656359698, 'Composting': 1097.8988374812634, 'Recycling': 1030.6647219348608}",24.81,High,111206.71
Odisha,2015-07-01,45099097,206704.2,"{'Fruits': 51676.04952654392, 'Vegetables': 62011.2594318527, 'Grains': 41340.839621235136, 'Dairy': 31005.62971592635, 'Meat': 10335.209905308784, 'Processed Foods': 10335.209905308784}",Hospitality,211458.11,"{'Landfill': 138252.63451419893, 'Composting': 39776.97153488827, 'Recycling': 21158.953237249698}",32.13,Low,51271950.62
Punjab,2015-07-01,29737565,136297.18,"{'Fruits': 34074.2942023279, 'Vegetables': 40889.153042793485, 'Grains': 27259.435361862324, 'Dairy': 20444.576521396742, 'Meat': 6814.858840465581, 'Processed Foods': 6814.858840465581}",Household,118398.21,"{'Landfill': 76312.41830414151, 'Composting': 26227.66511314954, 'Recycling': 26791.523796033056}",36.31,High,22292304.49
Rajasthan,2015-07-01,71417776,327331.48,"{'Fruits': 81832.86931598032, 'Vegetables': 98199.44317917638, 'Grains': 65466.29545278426, 'Dairy': 49099.72158958819, 'Meat': 16366.573863196065, 'Processed Foods': 16366.573863196065}",Household,355575.6,"{'Landfill': 171140.2248830203, 'Composting': 70561.3409695201, 'Recycling': 49641.70857793901}",34.05,Low,128575075.21
Sikkim,2015-07-01,570520,2614.88,"{'Fruits': 653.7209297204711, 'Vegetables': 784.4651156645652, 'Grains': 522.9767437763769, 'Dairy': 392.2325578322826, 'Meat': 130.74418594409423, 'Processed Foods': 130.74418594409423}",Food Processing,2465.4,"{'Landfill': 1629.480521731162, 'Composting': 587.6088858550665, 'Recycling': 442.0812687344065}",10.71,Medium,8205.14
Tamil Nadu,2015-07-01,76159270,349063.32,"{'Fruits': 87265.8306068307, 'Vegetables': 104718.99672819684, 'Grains': 69812.66448546456, 'Dairy': 52359.49836409842, 'Meat': 17453.16612136614, 'Processed Foods': 17453.16612136614}",Agriculture,382147.9,"{'Landfill': 211355.06512000074, 'Composting': 49162.568011626005, 'Recycling': 63990.13378334011}",31.35,Medium,146214243.68
Telangana,2015-07-01,38041400,174356.42,"{'Fruits': 43589.10463001993, 'Vegetables': 52306.92555602392, 'Grains': 34871.28370401594, 'Dairy': 26153.46277801196, 'Meat': 8717.820926003986, 'Processed Foods': 8717.820926003986}",Household,156250.74,"{'Landfill': 92263.0166918331, 'Composting': 29066.397267753593, 'Recycling': 25312.730310479983}",33.97,Low,36480192.81
Tripura,2015-07-01,3356938,15385.97,"{'Fruits': 3846.4923827577, 'Vegetables': 4615.79085930924, 'Grains': 3077.19390620616, 'Dairy': 2307.89542965462, 'Meat': 769.29847655154, 'Processed Foods': 769.29847655154}",Hospitality,15994.19,"{'Landfill': 7749.246450786892, 'Composting': 1562.597743450478, 'Recycling': 1853.677538680631}",37.55,Medium,284073.67
Uttar Pradesh,2015-07-01,211990624,971623.7,"{'Fruits': 242905.9244517011, 'Vegetables': 291487.1093420413, 'Grains': 194324.7395613609, 'Dairy': 145743.55467102065, 'Meat': 48581.18489034023, 'Processed Foods': 48581.18489034023}",Agriculture,779681.41,"{'Landfill': 670786.4052816008, 'Composting': 131144.78140324782, 'Recycling': 173994.70819041354}",22.2,High,1132863132.17
Uttarakhand,2015-07-01,10607340,48616.98,"{'Fruits': 12154.244382378221, 'Vegetables': 14585.093258853865, 'Grains': 9723.395505902577, 'Dairy': 7292.546629426933, 'Meat': 2430.8488764756444, 'Processed Foods': 2430.8488764756444}",Household,57779.34,"{'Landfill': 26393.8343459403, 'Composting': 7353.605312447824, 'Recycling': 6504.729686226697}",38.08,Low,2836332.6
West Bengal,2015-07-01,95081016,435787.99,"{'Fruits': 108946.99802337882, 'Vegetables': 130736.39762805458, 'Grains': 87157.59841870307, 'Dairy': 65368.19881402729, 'Meat': 21789.399604675767, 'Processed Foods': 21789.399604675767}",Food Processing,406015.21,"{'Landfill': 278917.66061127034, 'Composting': 89272.36008889943, 'Recycling': 64509.03302190656}",23.68,High,227893408.86
Andhra Pradesh,2015-08-01,81259175,372437.89,"{'Fruits': 93109.47196726958, 'Vegetables': 111731.36636072349, 'Grains': 74487.57757381567, 'Dairy': 55865.683180361746, 'Meat': 18621.894393453917, 'Processed Foods': 18621.894393453917}",Food Processing,298408.64,"{'Landfill': 186546.21575772914, 'Composting': 38364.20164107834, 'Recycling': 40691.605554098904}",10.0,High,166451976.38
Arunachal Pradesh,2015-08-01,1158595,5310.23,"{'Fruits': 1327.5569148405705, 'Vegetables': 1593.0682978086845, 'Grains': 1062.0455318724564, 'Dairy': 796.5341489043423, 'Meat': 265.5113829681141, 'Processed Foods': 265.5113829681141}",Retail,4481.22,"{'Landfill': 2759.732873946879, 'Composting': 767.0215873715472, 'Recycling': 680.2423770233589}",32.86,Low,33838.22
Assam,2015-08-01,28665105,131381.73,"{'Fruits': 32845.43317545282, 'Vegetables': 39414.51981054338, 'Grains': 26276.346540362254, 'Dairy': 19707.25990527169, 'Meat': 6569.0866350905635, 'Processed Foods': 6569.0866350905635}",Household,139731.36,"{'Landfill': 85929.20299797389, 'Composting': 38803.58757064143, 'Recycling': 14075.174079167688}",19.82,Low,20713391.63
Bihar,2015-08-01,108308589,496414.37,"{'Fruits': 124103.59258711932, 'Vegetables': 148924.3111045432, 'Grains': 99282.87406969546, 'Dairy': 74462.1555522716, 'Meat': 24820.718517423866, 'Processed Foods': 24820.718517423866}",Household,589345.7,"{'Landfill': 256318.99643916832, 'Composting': 145242.6856711136, 'Recycling': 65615.77511378806}",27.65,Medium,295712672.51
Chhattisgarh,2015-08-01,26914026,123355.95,"{'Fruits': 30838.988154412735, 'Vegetables': 37006.78578529528, 'Grains': 24671.19052353019, 'Dairy': 18503.39289264764, 'Meat': 6167.797630882547, 'Processed Foods': 6167.797630882547}",Household,115825.28,"{'Landfill': 67367.45589556011, 'Composting': 35734.1655516892, 'Recycling': 22210.47821441151}",31.67,Medium,18260029.26
Goa,2015-08-01,1443440,6615.77,"{'Fruits': 1653.9423889650336, 'Vegetables': 1984.7308667580403, 'Grains': 1323.153911172027, 'Dairy': 992.3654333790201, 'Meat': 330.78847779300673, 'Processed Foods': 330.78847779300673}",Agriculture,7855.99,"{'Landfill': 3448.6111056933078, 'Composting': 1981.8522521376517, 'Recycling': 1233.2457655081844}",21.58,High,52522.09
Gujarat,2015-08-01,65276717,299184.95,"{'Fruits': 74796.23871936035, 'Vegetables': 89755.48646323242, 'Grains': 59836.99097548828, 'Dairy': 44877.74323161621, 'Meat': 14959.24774387207, 'Processed Foods': 14959.24774387207}",Hospitality,304953.03,"{'Landfill': 198449.05804368443, 'Composting': 38893.012903337774, 'Recycling': 54997.60969302743}",31.92,High,107413964.67
Haryana,2015-08-01,26982232,123668.57,"{'Fruits': 30917.14129204231, 'Vegetables': 37100.56955045077, 'Grains': 24733.71303363385, 'Dairy': 18550.284775225384, 'Meat': 6183.428258408462, 'Processed Foods': 6183.428258408462}",Hospitality,115944.92,"{'Landfill': 73730.97187602574, 'Composting': 34710.03498571338, 'Recycling': 20364.151773065074}",35.83,Low,18352696.81
Himachal Pradesh,2015-08-01,6364311,29169.76,"{'Fruits': 7292.4397079843775, 'Vegetables': 8750.927649581252, 'Grains': 5833.951766387502, 'Dairy': 4375.463824790626, 'Meat': 1458.4879415968755, 'Processed Foods': 1458.4879415968755}",Food Processing,27501.55,"{'Landfill': 20084.793912239147, 'Composting': 3364.192993993155, 'Recycling': 3935.4465234533113}",38.67,High,1021049.8
Jharkhand,2015-08-01,35246042,161544.36,"{'Fruits': 40386.09017717296, 'Vegetables': 48463.30821260755, 'Grains': 32308.87214173837, 'Dairy': 24231.654106303777, 'Meat': 8077.218035434593, 'Processed Foods': 8077.218035434593}",Hospitality,160760.39,"{'Landfill': 98260.15497400635, 'Composting': 20008.459889543246, 'Recycling': 22426.465734936708}",18.68,Medium,31315896.57
Karnataka,2015-08-01,65208421,298871.93,"{'Fruits': 74717.98263199226, 'Vegetables': 89661.57915839071, 'Grains': 59774.38610559381, 'Dairy': 44830.789579195356, 'Meat': 14943.596526398453, 'Processed Foods': 14943.596526398453}",Hospitality,302199.67,"{'Landfill': 150436.68806271857, 'Composting': 32115.937670774572, 'Recycling': 44597.45656671097}",10.5,Medium,107189317.03
Kerala,2015-08-01,35300799,161795.33,"{'Fruits': 40448.83316970673, 'Vegetables': 48538.59980364808, 'Grains': 32359.06653576539, 'Dairy': 24269.29990182404, 'Meat': 8089.766633941347, 'Processed Foods': 8089.766633941347}",Agriculture,191244.65,"{'Landfill': 97378.7802899843, 'Composting': 24446.74794531076, 'Recycling': 18949.322458121747}",29.47,Medium,31413275.61
Madhya Pradesh,2015-08-01,76690988,351500.36,"{'Fruits': 87875.09102943416, 'Vegetables': 105450.10923532098, 'Grains': 70300.07282354734, 'Dairy': 52725.05461766049, 'Meat': 17575.018205886834, 'Processed Foods': 17575.018205886834}",Household,380689.83,"{'Landfill': 178318.8043515137, 'Composting': 66913.7819842253, 'Recycling': 63312.25463579528}",17.87,Medium,148263007.17
Maharashtra,2015-08-01,121443114,556614.27,"{'Fruits': 139153.56874586758, 'Vegetables': 166984.2824950411, 'Grains': 111322.85499669408, 'Dairy': 83492.14124752054, 'Meat': 27830.71374917352, 'Processed Foods': 27830.71374917352}",Hospitality,466575.75,"{'Landfill': 324788.53280889447, 'Composting': 81166.24438274713, 'Recycling': 66452.67702631025}",30.67,High,371783341.34
Manipur,2015-08-01,2296326,10524.83,"{'Fruits': 2631.2072511013967, 'Vegetables': 3157.448701321676, 'Grains': 2104.9658008811175, 'Dairy': 1578.724350660838, 'Meat': 526.2414502202794, 'Processed Foods': 526.2414502202794}",Food Processing,9279.14,"{'Landfill': 7011.759442942584, 'Composting': 1547.505543432521, 'Recycling': 1192.5659342394245}",20.78,High,132926.43
Meghalaya,2015-08-01,2455425,11254.03,"{'Fruits': 2813.5087097448736, 'Vegetables': 3376.2104516938484, 'Grains': 2250.806967795899, 'Dairy': 1688.1052258469242, 'Meat': 562.7017419489747, 'Processed Foods': 562.7017419489747}",Food Processing,9592.03,"{'Landfill': 7778.777051375929, 'Composting': 2152.9840583332957, 'Recycling': 2188.407367590128}",10.57,Low,151983.96
Mizoram,2015-08-01,950488,4356.41,"{'Fruits': 1089.1016738832554, 'Vegetables': 1306.9220086599064, 'Grains': 871.2813391066044, 'Dairy': 653.4610043299532, 'Meat': 217.8203347766511, 'Processed Foods': 217.8203347766511}",Retail,5211.94,"{'Landfill': 2782.633490767241, 'Composting': 881.3030912741611, 'Recycling': 755.6228957941206}",15.71,Medium,22773.94
Nagaland,2015-08-01,2078734,9527.54,"{'Fruits': 2381.8837735729585, 'Vegetables': 2858.26052828755, 'Grains': 1905.5070188583668, 'Dairy': 1429.130264143775, 'Meat': 476.3767547145917, 'Processed Foods': 476.3767547145917}",Household,9439.57,"{'Landfill': 5964.6683846301075, 'Composting': 2364.532171675144, 'Recycling': 1821.615679049117}",10.54,Medium,108928.71
Odisha,2015-08-01,45209595,207210.65,"{'Fruits': 51802.66167589472, 'Vegetables': 62163.19401107366, 'Grains': 41442.12934071578, 'Dairy': 31081.59700553683, 'Meat': 10360.532335178945, 'Processed Foods': 10360.532335178945}",Household,174099.97,"{'Landfill': 127792.63474148865, 'Composting': 45233.50872300072, 'Recycling': 36831.45780959023}",31.0,High,51523502.53
Punjab,2015-08-01,29776854,136477.25,"{'Fruits': 34119.31300555978, 'Vegetables': 40943.175606671735, 'Grains': 27295.450404447824, 'Dairy': 20471.587803335868, 'Meat': 6823.862601111956, 'Processed Foods': 6823.862601111956}",Agriculture,150765.39,"{'Landfill': 80420.36090389221, 'Composting': 23992.1895830696, 'Recycling': 18973.636136234993}",35.76,Low,22351248.38
Rajasthan,2015-08-01,71806505,329113.15,"{'Fruits': 82278.28712034858, 'Vegetables': 98733.9445444183, 'Grains': 65822.62969627888, 'Dairy': 49366.97227220915, 'Meat': 16455.65742406972, 'Processed Foods': 16455.65742406972}",Hospitality,275033.43,"{'Landfill': 226117.34757168015, 'Composting': 76438.81074195639, 'Recycling': 39132.02240964087}",28.38,Low,129978557.4
Sikkim,2015-08-01,577104,2645.06,"{'Fruits': 661.2653017171828, 'Vegetables': 793.5183620606193, 'Grains': 529.0122413737462, 'Dairy': 396.75918103030966, 'Meat': 132.25306034343654, 'Processed Foods': 132.25306034343654}",Agriculture,2336.24,"{'Landfill': 1635.56252209726, 'Composting': 517.4549919272935, 'Recycling': 363.8265293817927}",11.92,High,8395.62
Tamil Nadu,2015-08-01,77077352,353271.2,"{'Fruits': 88317.80022355267, 'Vegetables': 105981.36026826319, 'Grains': 70654.24017884214, 'Dairy': 52990.680134131595, 'Meat': 17663.560044710535, 'Processed Foods': 17663.560044710535}",Hospitality,373916.79,"{'Landfill': 191712.0464001114, 'Composting': 46661.35328651371, 'Recycling': 52282.01963497737}",38.01,Low,149760649.66
Telangana,2015-08-01,36718628,168293.71,"{'Fruits': 42073.42859235565, 'Vegetables': 50488.11431082678, 'Grains': 33658.74287388453, 'Dairy': 25244.05715541339, 'Meat': 8414.685718471132, 'Processed Foods': 8414.685718471132}",Household,172669.96,"{'Landfill': 112487.03361709477, 'Composting': 36992.38424022792, 'Recycling': 17329.85103294879}",11.56,Medium,33987329.16
Tripura,2015-08-01,3422018,15684.25,"{'Fruits': 3921.062603239827, 'Vegetables': 4705.275123887792, 'Grains': 3136.850082591862, 'Dairy': 2352.637561943896, 'Meat': 784.2125206479654, 'Processed Foods': 784.2125206479654}",Agriculture,17579.84,"{'Landfill': 10412.292833832797, 'Composting': 3608.632963593065, 'Recycling': 3006.35153101287}",20.08,Low,295194.85
Uttar Pradesh,2015-08-01,211081426,967456.54,"{'Fruits': 241864.13490884745, 'Vegetables': 290236.9618906169, 'Grains': 193491.30792707799, 'Dairy': 145118.48094530846, 'Meat': 48372.826981769496, 'Processed Foods': 48372.826981769496}",Household,872029.92,"{'Landfill': 548431.6915763654, 'Composting': 159118.07133584007, 'Recycling': 158170.265410911}",23.31,High,1123166587.3
Uttarakhand,2015-08-01,10856198,49757.57,"{'Fruits': 12439.393632667621, 'Vegetables': 14927.272359201144, 'Grains': 9951.514906134098, 'Dairy': 7463.636179600572, 'Meat': 2487.8787265335245, 'Processed Foods': 2487.8787265335245}",Food Processing,42620.88,"{'Landfill': 28622.2778038779, 'Composting': 9411.565658343, 'Recycling': 9493.045905195158}",15.9,Low,2970979.47
West Bengal,2015-08-01,96293838,441346.76,"{'Fruits': 110336.68978052362, 'Vegetables': 132404.02773662834, 'Grains': 88269.3518244189, 'Dairy': 66202.01386831417, 'Meat': 22067.337956104726, 'Processed Foods': 22067.337956104726}",Food Processing,374998.93,"{'Landfill': 230877.77778598634, 'Composting': 92288.43269589801, 'Recycling': 81678.31172399766}",39.03,High,233744354.15
Andhra Pradesh,2015-09-01,80691818,369837.5,"{'Fruits': 92459.37533547227, 'Vegetables': 110951.25040256673, 'Grains': 73967.50026837781, 'Dairy': 55475.625201283365, 'Meat': 18491.875067094454, 'Processed Foods': 18491.875067094454}",Retail,324161.31,"{'Landfill': 210453.71255709487, 'Composting': 39829.060243719396, 'Recycling': 52905.86366444039}",23.89,Medium,164135732.88
Arunachal Pradesh,2015-09-01,1162660,5328.86,"{'Fruits': 1332.2151342257655, 'Vegetables': 1598.6581610709186, 'Grains': 1065.7721073806124, 'Dairy': 799.3290805354593, 'Meat': 266.4430268451531, 'Processed Foods': 266.4430268451531}",Food Processing,5622.51,"{'Landfill': 2993.673010715703, 'Composting': 905.4010389186833, 'Recycling': 595.0014287587154}",30.74,High,34076.11
Assam,2015-09-01,28018377,128417.56,"{'Fruits': 32104.390369798617, 'Vegetables': 38525.26844375834, 'Grains': 25683.512295838897, 'Dairy': 19262.63422187917, 'Meat': 6420.878073959724, 'Processed Foods': 6420.878073959724}",Household,120083.47,"{'Landfill': 74778.13640032725, 'Composting': 25637.851803197915, 'Recycling': 15200.221184132239}",17.81,Low,19789284.12
Bihar,2015-09-01,111693125,511926.82,"{'Fruits': 127981.70621526378, 'Vegetables': 153578.04745831652, 'Grains': 102385.36497221103, 'Dairy': 76789.02372915826, 'Meat': 25596.341243052757, 'Processed Foods': 25596.341243052757}",Retail,574857.03,"{'Landfill': 280158.63412545965, 'Composting': 118088.67805259826, 'Recycling': 74463.89329898356}",14.56,Low,314482888.81
Chhattisgarh,2015-09-01,27614603,126566.93,"{'Fruits': 31641.732832269896, 'Vegetables': 37970.07939872387, 'Grains': 25313.38626581592, 'Dairy': 18985.039699361936, 'Meat': 6328.34656645398, 'Processed Foods': 6328.34656645398}",Agriculture,110650.75,"{'Landfill': 73533.00684159508, 'Composting': 21037.77503961052, 'Recycling': 23771.07354717911}",23.06,Medium,19223025.73
Goa,2015-09-01,1439834,6599.24,"{'Fruits': 1649.809907236212, 'Vegetables': 1979.7718886834543, 'Grains': 1319.8479257889696, 'Dairy': 989.8859443417272, 'Meat': 329.9619814472424, 'Processed Foods': 329.9619814472424}",Household,6299.91,"{'Landfill': 3796.825011771588, 'Composting': 1219.1226796595706, 'Recycling': 888.6035294292984}",24.31,Low,52259.96
Gujarat,2015-09-01,62952711,288533.26,"{'Fruits': 72133.31570443153, 'Vegetables': 86559.97884531783, 'Grains': 57706.65256354523, 'Dairy': 43279.98942265892, 'Meat': 14426.663140886307, 'Processed Foods': 14426.663140886307}",Retail,337274.55,"{'Landfill': 150980.12240229937, 'Composting': 31724.621880935258, 'Recycling': 42451.85869918208}",30.93,High,99901732.5
Haryana,2015-09-01,26977696,123647.78,"{'Fruits': 30911.943912139308, 'Vegetables': 37094.332694567165, 'Grains': 24729.555129711447, 'Dairy': 18547.166347283583, 'Meat': 6182.388782427862, 'Processed Foods': 6182.388782427862}",Food Processing,135219.2,"{'Landfill': 85005.79239003587, 'Composting': 19161.672377199215, 'Recycling': 21243.00166011769}",24.28,High,18346526.91
Himachal Pradesh,2015-09-01,6486673,29730.59,"{'Fruits': 7432.647097383077, 'Vegetables': 8919.176516859692, 'Grains': 5946.117677906463, 'Dairy': 4459.588258429846, 'Meat': 1486.5294194766157, 'Processed Foods': 1486.5294194766157}",Food Processing,29238.19,"{'Landfill': 20742.44694459989, 'Composting': 7569.704283788507, 'Recycling': 4719.841854295595}",28.31,Medium,1060689.46
Jharkhand,2015-09-01,34537798,158298.24,"{'Fruits': 39574.56120987896, 'Vegetables': 47489.47345185475, 'Grains': 31659.648967903166, 'Dairy': 23744.736725927374, 'Meat': 7914.912241975791, 'Processed Foods': 7914.912241975791}",Food Processing,136642.07,"{'Landfill': 110449.6256943833, 'Composting': 47414.293964725184, 'Recycling': 29746.652816313253}",31.53,Low,30070001.18
Karnataka,2015-09-01,65463936,300043.04,"{'Fruits': 75010.76075629341, 'Vegetables': 90012.91290755209, 'Grains': 60008.60860503474, 'Dairy': 45006.456453776045, 'Meat': 15002.152151258684, 'Processed Foods': 15002.152151258684}",Retail,336678.78,"{'Landfill': 178916.31784717395, 'Composting': 41667.92166585557, 'Recycling': 57136.91865622866}",35.83,Low,108030993.2
